z,th,score,pass
650,-3,0,0
650,-2.9,0,0
650,-2.8,0,0
650,-2.7,90.4013355680701,1
650,-2.6,91.4365179854814,1
650,-2.5,92.4437908532294,1
650,2.5,93.7306273927816,1
650,2.6,92.9521508133037,1
650,2.7,0,0
650,2.8,0,0
650,2.9,0,0
650,3,0,0
800,-3,0,0
800,-2.9,0,0
800,-2.8,0,0
800,-2.7,0,0
800,-2.6,92.8111770725911,1
800,-2.5,93.3476110086384,1
800,2.5,93.8010989702197,1
800,2.6,93.4841770682397,1
800,2.7,93.2351967484207,1
800,2.8,82.3284977982011,1
800,2.9,0,0
800,3,93.0456180420378,1
900,-3,0,0
900,-2.9,0,0
900,-2.8,0,0
900,-2.7,0,0
900,-2.6,91.9432906822722,1
900,-2.5,93.3561070472226,1
900,2.5,93.7520361183984,1
900,2.6,93.4875440121656,1
900,2.7,92.6562708392542,1
900,2.8,0,0
900,2.9,0,0
900,3,91.9124027947358,1
1000,-3,0,0
1000,-2.9,0,0
1000,-2.8,0,0
1000,-2.7,0,0
1000,-2.6,91.1246646630569,1
1000,-2.5,93.0383212439311,1
1000,2.5,93.5400558964009,1
1000,2.6,93.3732171536018,1
1000,2.7,92.0881590325594,1
1000,2.8,0,0
1000,2.9,0,0
1000,3,89.5724493492532,1
1200,-3,0,0
1200,-2.9,0,0
1200,-2.8,0,0
1200,-2.7,0,0
1200,-2.6,89.2980540747203,1
1200,-2.5,92.2600217342197,1
1200,-2.4,91.905316214218,1
1200,-2.3,91.5764878786584,1
1200,-2.2,91.6214974049712,1
1200,-2.1,91.8535181138196,1
1200,-2,92.329478311485,1
1200,-1.9,91.6561375406289,1
1200,-0.0999999999999996,88.9385126893817,1
1200,0,89.4432458109736,1
1200,0.0999999999999996,88.9385426907108,1
1200,1.9,87.9652197894394,1
1200,2,92.4951761680479,1
1200,2.1,0,0
1200,2.2,90.823525608067,1
1200,2.3,0,0
1200,2.4,0,0
1200,2.5,91.877963753764,1
1200,2.6,92.1081812592493,1
1200,2.7,90.9163674165168,1
1200,2.8,0,0
1200,2.9,0,0
1200,3,78.9852525986249,1
1500,-3,0,0
1500,-2.9,0,0
1500,-2.8,0,0
1500,-2.7,0,0
1500,-2.6,87.7299757208617,1
1500,-2.5,90.2874757422492,1
1500,-2.4,90.9464971746102,1
1500,-2.3,91.1310362558216,1
1500,-2.2,91.6218912654566,1
1500,-2.1,91.7456173767649,1
1500,-2,92.0693289363453,1
1500,-1.9,91.8427410068224,1
1500,-0.0999999999999996,88.2746069920152,1
1500,0,89.2634134365595,1
1500,0.0999999999999996,88.2746069920152,1
1500,1.9,68.0062138290593,1
1500,2,91.961391442789,1
1500,2.1,0,0
1500,2.2,92.3023813449113,1
1500,2.3,90.3270434373922,1
1500,2.4,91.8538152608092,1
1500,2.5,91.5096271286375,1
1500,2.6,90.8331334778515,1
1500,2.7,90.3787607423586,1
1500,2.8,0,0
1500,2.9,0,0
1500,3,74.5282228973509,1
