z,th,score,pass
650,-3,0,0
650,-2.9,0,0
650,-2.8,0,0
650,-2.7,90.3474794774044,1
650,-2.6,91.3199383799507,1
650,-2.5,92.3405875726158,1
650,2.5,93.7295585636126,1
650,2.6,92.9521669586628,1
650,2.7,0,0
650,2.8,0,0
650,2.9,0,0
650,3,0,0
800,-3,0,0
800,-2.9,0,0
800,-2.8,0,0
800,-2.7,84.8555675747553,1
800,-2.6,92.7090002574861,1
800,-2.5,93.353601749516,1
800,2.5,93.8016021925763,1
800,2.6,93.4844065783403,1
800,2.7,93.2351906494349,1
800,2.8,0,0
800,2.9,0,0
800,3,93.1186555923276,1
900,-3,0,0
900,-2.9,0,0
900,-2.8,0,0
900,-2.7,0,0
900,-2.6,91.7708211182749,1
900,-2.5,93.3820109394366,1
900,2.5,93.7493708142849,1
900,2.6,93.4876852544686,1
900,2.7,92.660472275297,1
900,2.8,0,0
900,2.9,82.1355833706876,1
900,3,91.1262420447939,1
1000,-3,0,0
1000,-2.9,0,0
1000,-2.8,0,0
1000,-2.7,63.6050899317823,1
1000,-2.6,90.879362405574,1
1000,-2.5,93.0891153670113,1
1000,2.5,93.5384798516056,1
1000,2.6,93.3748905075556,1
1000,2.7,92.0979528680257,1
1000,2.8,0,0
1000,2.9,70.3704583246151,1
1000,3,92.8761255575167,1
1200,-3,0,0
1200,-2.9,0,0
1200,-2.8,0,0
1200,-2.7,0,0
1200,-2.6,88.9969844704358,1
1200,-2.5,92.2555345600418,1
1200,-2.4,92.0034188567912,1
1200,-2.3,91.4464795743411,1
1200,-2.2,91.6790519430536,1
1200,-2.1,91.7722406445654,1
1200,-2,92.2641910623308,1
1200,-1.9,91.686975042035,1
1200,-0.0999999999999996,88.9709838645568,1
1200,0,89.4432458109736,1
1200,0.0999999999999996,88.5886281325345,1
1200,1.9,81.4711785262003,1
1200,2,92.1839195023622,1
1200,2.1,89.9187865774096,1
1200,2.2,92.6232074700517,1
1200,2.3,93.1420593998648,1
1200,2.4,0,0
1200,2.5,91.8541903666631,1
1200,2.6,92.1171625380845,1
1200,2.7,90.9370383262738,1
1200,2.8,0,0
1200,2.9,0,0
1200,3,91.0795697566024,1
1500,-3,0,0
1500,-2.9,0,0
1500,-2.8,0,0
1500,-2.7,0,0
1500,-2.6,88.1818611150923,1
1500,-2.5,90.6138950449673,1
1500,-2.4,90.8092522856376,1
1500,-2.3,90.9566480530364,1
1500,-2.2,91.5821474826124,1
1500,-2.1,91.539567920486,1
1500,-2,91.9624955874437,1
1500,-1.9,91.8119791519287,1
1500,-0.0999999999999996,88.3687228837649,1
1500,0,89.2634134365595,1
1500,0.0999999999999996,88.4680748429801,1
1500,1.9,0,0
1500,2,91.4243268049341,1
1500,2.1,92.9100119415581,1
1500,2.2,92.37603018654,1
1500,2.3,0,0
1500,2.4,0,0
1500,2.5,91.4987703587672,1
1500,2.6,90.7981633028326,1
1500,2.7,89.788780623116,1
1500,2.8,0,0
1500,2.9,0,0
1500,3,89.9802467715032,1
