z,th,score,pass
25,-0.5,0,0
25,-0.4,0,0
25,-0.3,69.6220734037938,1
25,-0.2,79.5774734828826,1
25,-0.0999999999999996,89.171491991043,1
25,0,97.9401857992756,1
25,0.0999999999999996,89.171491991043,1
25,0.2,79.5774734828826,1
25,0.3,69.6220734037938,1
25,0.4,0,0
25,0.5,0,0
50,-0.5,63.6144348909869,1
50,-0.4,69.9115573808821,1
50,-0.3,76.2173879280749,1
50,-0.2,83.3428286922335,1
50,-0.0999999999999996,90.189648630574,1
50,0,96.2105300678761,1
50,0.0999999999999996,90.189648630574,1
50,0.2,83.3428286922335,1
50,0.3,76.2173879280749,1
50,0.4,69.9115573808821,1
50,0.5,63.6144348909869,1
100,-0.5,88.1943327316369,1
100,-0.4,86.3266222463751,1
100,-0.3,88.3517058308814,1
100,-0.2,90.7701423698032,1
100,-0.0999999999999996,93.1324054897779,1
100,0,95.1007087495848,1
100,0.0999999999999996,93.1324054897779,1
100,0.2,90.7701423698032,1
100,0.3,88.3517058308814,1
100,0.4,86.3266222463751,1
100,0.5,88.1943327316369,1
200,-1,85.1644001979401,1
200,-0.9,87.9828550656362,1
200,-0.8,89.5991334006781,1
200,-0.7,90.5093363555842,1
200,-0.6,91.2453679739204,1
200,-0.5,91.9482734534137,1
200,-0.4,94.0285378759135,1
200,-0.3,94.1429885097965,1
200,-0.2,94.2545196565678,1
200,-0.0999999999999996,94.3369648824297,1
200,0,94.4124932854737,1
200,0.0999999999999996,94.3369648824297,1
200,0.2,94.2545196565678,1
200,0.3,94.1429885097965,1
200,0.4,94.0285378759135,1
200,0.5,91.9482734534137,1
200,0.6,91.2453679739204,1
200,0.7,90.5093363555842,1
200,0.8,89.5991334006781,1
200,0.9,87.9828550656362,1
200,1,85.1644001979401,1
350,-1.2,82.4806465219648,1
350,-1.1,87.7513611616713,1
350,-1,88.5199350814019,1
350,-0.9,88.060205231882,1
350,-0.8,87.7946912895034,1
350,-0.7,87.85888014674,1
350,-0.6,88.1032003963487,1
350,-0.5,88.5376345142759,1
350,-0.4,92.031929630855,1
350,-0.3,92.601742186507,1
350,-0.2,93.1362463620984,1
350,-0.0999999999999996,93.5615195339462,1
350,0,94.0107610048246,1
350,0.0999999999999996,93.5615195339462,1
350,0.2,93.1362463620984,1
350,0.3,92.601742186507,1
350,0.4,92.031929630855,1
350,0.5,88.5376345142759,1
350,0.6,88.1032003963487,1
350,0.7,87.85888014674,1
350,0.8,87.7946912895034,1
350,0.9,88.060205231882,1
350,1,88.5199350814019,1
350,1.1,87.7513611616713,1
350,1.2,82.4806465219648,1
500,-1.2,88.2331556911161,1
500,-1.1,87.0843086779551,1
500,-1,86.453197521073,1
500,-0.9,86.4334488221,1
500,-0.8,86.6346089852775,1
500,-0.7,86.7003517359563,1
500,-0.6,86.6494304832313,1
500,-0.5,86.7666251799637,1
500,-0.4,87.6179403248867,1
500,-0.3,89.0182461948427,1
500,-0.2,90.591378806433,1
500,-0.0999999999999996,91.9462238977426,1
500,0,93.1058203392512,1
500,0.0999999999999996,91.9462238977426,1
500,0.2,90.591378806433,1
500,0.3,89.0182461948427,1
