z,th,score,pass
25,-0.5,0,0
25,-0.4,0,0
25,-0.3,69.6220734037937,1
25,-0.2,79.5774734828826,1
25,-0.0999999999999996,89.171491991043,1
25,0,97.9401857992756,1
25,0.0999999999999996,89.171491991043,1
25,0.2,79.5774734828826,1
25,0.3,69.6220734037937,1
25,0.4,0,0
25,0.5,0,0
50,-0.5,0,0
50,-0.4,69.9386460558216,1
50,-0.3,76.1688392445424,1
50,-0.2,83.219148334162,1
50,-0.0999999999999996,90.0342217507137,1
50,0,96.107411816896,1
50,0.0999999999999996,90.0342217507137,1
50,0.2,83.219148334162,1
50,0.3,76.1688392445424,1
50,0.4,69.9386460558216,1
50,0.5,0,0
100,-0.5,83.655350838093,1
100,-0.4,83.2354595239114,1
100,-0.3,85.9444731263437,1
100,-0.2,89.0730196940148,1
100,-0.0999999999999996,92.0533879090018,1
100,0,94.5685065755689,1
100,0.0999999999999996,92.0533879090018,1
100,0.2,89.0730196940148,1
100,0.3,85.9444731263437,1
100,0.4,83.2354595239114,1
100,0.5,83.655350838093,1
200,-1,83.1658244193635,1
200,-0.9,86.6078543323496,1
200,-0.8,88.4463333687908,1
200,-0.7,89.5213523017267,1
200,-0.6,90.4170136073949,1
200,-0.5,91.2478460874437,1
200,-0.4,93.5547533587387,1
200,-0.3,93.6168126870831,1
200,-0.2,93.6910165163725,1
200,-0.0999999999999996,93.7547484058225,1
200,0,93.8456604854433,1
200,0.0999999999999996,93.7547484058225,1
200,0.2,93.6910165163725,1
200,0.3,93.6168126870831,1
200,0.4,93.5547533587387,1
200,0.5,91.2478460874437,1
200,0.6,90.4170136073949,1
200,0.7,89.5213523017267,1
200,0.8,88.4463333687908,1
200,0.9,86.6078543323496,1
200,1,83.1658244193635,1
350,-1.2,79.9812729639333,1
350,-1.1,85.9941737375255,1
350,-1,86.4010034138886,1
350,-0.9,85.9363340076229,1
350,-0.8,85.8569772529009,1
350,-0.7,86.0620956315813,1
350,-0.6,86.4201473152705,1
350,-0.5,86.987142878056,1
350,-0.4,90.8459878553007,1
350,-0.3,91.5260204256156,1
350,-0.2,92.1710671589231,1
350,-0.0999999999999996,92.6955897147296,1
350,0,93.1289474222518,1
350,0.0999999999999996,92.6955897147296,1
350,0.2,92.1710671589231,1
350,0.3,91.5260204256156,1
350,0.4,90.8459878553007,1
350,0.5,86.987142878056,1
350,0.6,86.4201473152705,1
350,0.7,86.0620956315813,1
350,0.8,85.8569772529009,1
350,0.9,85.9363340076229,1
350,1,86.4010034138886,1
350,1.1,85.9941737375255,1
350,1.2,79.9812729639333,1
500,-1.2,86.5564858584231,1
500,-1.1,85.5611651499183,1
500,-1,85.2036588052435,1
500,-0.9,85.3461771390013,1
500,-0.8,85.6354911190628,1
500,-0.7,85.7600608687991,1
500,-0.6,85.7785341556309,1
500,-0.5,85.8896863602905,1
500,-0.4,85.7924202430125,1
500,-0.3,87.3483565966324,1
500,-0.2,89.1043447104701,1
500,-0.0999999999999996,90.6269160058773,1
500,0,91.8166248564541,1
500,0.0999999999999996,90.6269160058773,1
500,0.2,89.1043447104701,1
500,0.3,87.3483565966324,1
500,0.4,85.7924202430125,1
